Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Printer Labels,Hidden,Non-revenue item
15AAERNQ24EC6,Protank 3,,19.99,Fixed,,DEFAULT,11.45,201934120004,,,5,,No,No
X01KYTTAYZ3DY,Grunge Off,,18.99,Fixed,,DEFAULT,9.25,766897299674,MANDEL-GRUNGEOFF,,-126,,No,No
N2TKTC0JH38H4,Stok R-Series Pen,,49.99,Fixed,,DEFAULT,25.0,857565005007,METRO-R-SERIES-PEN,,-27,,No,No
9XAAJC1MRB8R4,G Pro,,99.0,Fixed,,DEFAULT,36.0,811736020411,VAPEWORLD-GPRO,,0,,No,No
AVZX44VS65X5E,Joint Wax,,5.0,Fixed,,DEFAULT,0.0,736211574367,,,1,,No,No
JBF9CJ1KWJ15A,Car Charger,,5.0,Fixed,,DEFAULT,0.0,617037043315,,,-3,,No,No
JCSCQ1ZX9FDN6,Magic Flight Glass Stem,,4.99,Fixed,,DEFAULT,0.0,200077105008,,,0,,No,No
QZP7T042GVEW4,Bic Lighter,,1.99,Fixed,,DEFAULT,0.84,070330600065,BIO-FUL-BIC-LG,,-61,,No,No
WC1JMAP76AAXC,Mini Protank 2,,10.89,Fixed,,DEFAULT,5.45,200095110008,EC-AC-KMPT2,,6,,No,No
WF7PJZ19ZN0D0,Mini Protank 3,,12.99,Fixed,,DEFAULT,6.5,200098112009,MANDEL-EC-AC-MPT3,,1,,No,No
YN7DXRX6NWKG2,Protank 2,,18.99,Fixed,,DEFAULT,0.0,200102122000,EC-AC-KPT,,5,,No,No
T4KTH55F79CVY,PJ Chillum Worked,,34.99,Fixed,,DEFAULT,16.0,200116135003,CHL-PJ-WRK,,7,,No,No
4ZHPBW7K2YK8R,"Liquid Science Tube Straight 18""",,149.99,Fixed,,DEFAULT,59.0,200165114905,TUBE-LS-STR-18,,0,,No,No
ERD22C9M6JYA0,"Liquid Science Tube Straight 14""",,119.99,Fixed,,DEFAULT,49.0,200164112902,TUBE-LS-STR-14,,-1,,No,No
4MQS27WDK82WC,"Liquid Science Tube Straight w/29mm Showerhead 18""",,229.0,Fixed,,DEFAULT,109.0,200163122902,TUBE-LS-STR-29SH-18,,0,,No,No
VVYJEKJC9GHSY,"Liquid Science Tube Beaker 14""",,119.99,Fixed,,DEFAULT,49.99,200159114904,TUBE-LS-BK-14,,2,,No,No
KH8TNJ9NHPXWC,"Liquid Science Tube Beaker w/29mm Showerhead 18""",,249.0,Fixed,,DEFAULT,109.0,200161124908,TUBE-LS-BK-29SH-18,,0,,No,No
X0M9JENSV450W,"Liquid Science Tube Beaker 18""",,139.99,Fixed,,DEFAULT,69.0,200160116904,TUBE-LS-BK-18,,0,,No,No
Q4RV3HFTJJS4A,"Biohazard Straight 18""",,99.99,Fixed,,DEFAULT,33.0,201488189007,BIO-WPGG-00226,,0,,No,No
YHJSPWYDZZZRA,Mass Pipes Scallop Frit Spoon,,39.0,Fixed,,DEFAULT,18.0,200343139003,SPN-MP-SCFRT,,0,,No,No
Z554HE9STC5MP,Mass Pipes Frit Spoon,,35.0,Fixed,,DEFAULT,14.0,200110135009,SPN-MP-FRT,,3,,No,No
9MRX7KT783F6R,Sprout Glass Fume w/Worked Section Spoon,,59.0,Fixed,,DEFAULT,28.0,200359159002,,,1,,No,No
M988JCM3D7E1W,Mohawk Glass Spoon Wrap and Rake,,35.0,Fixed,,DEFAULT,15.0,200337139002,,,0,,No,No
EF9J40VGSHW3G,Mohawk Glass Sherlock Frit,,65.0,Fixed,,DEFAULT,30.0,200368165001,SHLK-MG-FRT,,1,,No,No
6JSTJ44QE8CRW,Mohawk Glass Sherlock Fumed w/opal,,99.0,Fixed,,DEFAULT,50.0,200371199000,SHLK-MG-FRT-OPL,,1,,No,No
JVKCX3X7HWHKR,Fishbowl Glass Worked Window,,19.99,Fixed,,DEFAULT,17.0,200407139000,,,1,,No,No
9JXFRB477YYN4,Fishbowl Glass Standard,,35.0,Fixed,,DEFAULT,13.0,200409135000,,,0,,No,No
4H4FDPV7DEATG,Tyler Glassman Sherlock,,99.0,Fixed,,DEFAULT,60.0,200434199008,,,0,,No,No
